id_lealtad,fecha_registro,fecha_nacimiento,edad,id_sexo,id_medio,segmento_edad,codigo_postal
100019,13/01/2020,20/04/1990,31,M,WS,ENTRE 31 Y 40,
100043,01/04/2020,06/07/1987,34,H,FBIG,ENTRE 31 Y 40,
100062,11/03/2020,23/11/1997,24,H,OTRO,ENTRE 21 Y 30,
100067,01/02/2020,19/10/1992,29,H,OTRO,ENTRE 21 Y 30,
100087,11/02/2020,12/07/1983,38,H,OTRO,ENTRE 31 Y 40,
100091,20/02/2020,14/12/1982,39,H,FBIG,ENTRE 31 Y 40,
100138,13/01/2020,05/10/1987,34,H,OTRO,ENTRE 31 Y 40,
100166,03/03/2020,04/08/1974,47,H,WS,ENTRE 41 Y 50,
100190,07/01/2020,29/08/1987,34,H,OTRO,ENTRE 31 Y 40,
100251,18/02/2020,15/01/1985,36,H,FBIG,ENTRE 31 Y 40,
100296,08/01/2020,19/01/1993,28,H,OTRO,ENTRE 21 Y 30,
100300,16/02/2020,01/07/1965,56,H,OTRO,MAYORES DE 50,
100316,12/01/2020,23/07/1988,33,H,OTRO,ENTRE 31 Y 40,
100325,05/01/2020,26/02/1985,36,H,WS,ENTRE 31 Y 40,
100392,16/03/2020,21/07/1991,30,H,OTRO,ENTRE 21 Y 30,
100411,10/01/2020,15/12/1965,56,H,AMI,MAYORES DE 50,
100492,08/01/2020,23/09/1981,40,H,OTRO,ENTRE 31 Y 40,
100511,28/01/2020,23/10/1990,31,H,FBIG,ENTRE 31 Y 40,
100553,27/02/2020,07/09/1975,46,H,REV,ENTRE 41 Y 50,
100597,07/01/2020,28/03/1980,41,M,WS,ENTRE 41 Y 50,
100649,15/01/2020,26/10/1989,32,H,OTRO,ENTRE 31 Y 40,
100690,27/02/2020,20/12/1979,42,H,OTRO,ENTRE 41 Y 50,
100706,21/02/2020,22/02/1951,70,H,EMAIL,MAYORES DE 50,
100748,27/02/2020,17/01/1946,75,M,OTRO,MAYORES DE 50,
100762,09/01/2020,23/10/1998,23,M,WS,ENTRE 21 Y 30,
100791,18/01/2020,21/03/1987,34,M,OTRO,ENTRE 31 Y 40,
100802,05/01/2020,31/01/1988,33,M,OTRO,ENTRE 31 Y 40,
100823,28/02/2020,19/06/1992,29,H,OTRO,ENTRE 21 Y 30,
100837,19/02/2020,02/10/1982,39,H,OTRO,ENTRE 31 Y 40,
100850,11/01/2020,25/01/1985,36,H,WS,ENTRE 31 Y 40,
100870,26/02/2020,02/05/1959,62,H,OTRO,MAYORES DE 50,
100888,13/01/2020,19/03/1981,40,M,OTRO,ENTRE 31 Y 40,
100898,05/01/2020,14/07/1998,23,M,OTRO,ENTRE 21 Y 30,
100918,02/03/2020,14/09/1985,36,M,EMAIL,ENTRE 31 Y 40,
100922,17/03/2020,08/02/2005,16,H,OTRO,MENORES DE 21,
100927,19/02/2020,04/10/1976,45,H,EMAIL,ENTRE 41 Y 50,
100935,28/02/2020,06/04/1956,65,H,OTRO,MAYORES DE 50,
100946,08/01/2020,12/07/1982,39,H,OTRO,ENTRE 31 Y 40,
100982,15/02/2020,09/01/1983,38,M,OTRO,ENTRE 31 Y 40,
101048,10/01/2020,05/01/1988,33,M,OTRO,ENTRE 31 Y 40,
101078,13/02/2020,04/06/1990,31,M,EMAIL,ENTRE 31 Y 40,
101090,18/02/2020,16/08/2003,18,H,OTRO,MENORES DE 21,
101097,07/01/2020,26/08/2000,21,M,FBIG,ENTRE 21 Y 30,
101101,14/01/2020,27/12/1995,26,H,EMAIL,ENTRE 21 Y 30,
101117,09/01/2020,12/08/1996,25,H,OTRO,ENTRE 21 Y 30,
101173,29/02/2020,24/05/1997,24,M,OTRO,ENTRE 21 Y 30,
101209,15/01/2020,04/04/1990,31,M,EMAIL,ENTRE 31 Y 40,
101214,19/02/2020,16/08/1997,24,H,OTRO,ENTRE 21 Y 30,
101221,15/01/2020,25/03/1951,70,M,REV,MAYORES DE 50,
101231,02/03/2020,24/09/1974,47,H,OTRO,ENTRE 41 Y 50,
101241,13/01/2020,08/09/1983,38,H,FBIG,ENTRE 31 Y 40,
101286,11/01/2020,16/06/1983,38,M,FBIG,ENTRE 31 Y 40,
101303,12/01/2020,18/06/1978,43,H,WS,ENTRE 41 Y 50,
101315,29/02/2020,22/04/1977,44,H,WS,ENTRE 41 Y 50,
101316,05/02/2020,05/05/1986,35,H,OTRO,ENTRE 31 Y 40,
101352,18/02/2020,07/09/1987,34,M,EMAIL,ENTRE 31 Y 40,
101359,10/02/2020,13/01/2004,17,H,WS,MENORES DE 21,
101363,19/02/2020,19/11/1990,31,H,OTRO,ENTRE 31 Y 40,
101417,11/03/2020,28/09/1984,37,H,OTRO,ENTRE 31 Y 40,
101427,01/03/2020,03/07/1999,22,M,OTRO,ENTRE 21 Y 30,
101443,03/03/2020,28/12/1975,46,H,OTRO,ENTRE 41 Y 50,
101455,08/02/2020,03/02/1950,71,M,OTRO,MAYORES DE 50,
101459,16/01/2020,28/09/1981,40,H,FBIG,ENTRE 31 Y 40,
101494,27/02/2020,02/08/1987,34,M,WS,ENTRE 31 Y 40,
101557,15/01/2020,12/01/1989,32,M,WS,ENTRE 31 Y 40,
101592,15/01/2020,29/01/1974,47,H,OTRO,ENTRE 41 Y 50,
101612,19/02/2020,25/09/1987,34,H,REV,ENTRE 31 Y 40,
101637,04/03/2020,13/05/1995,26,H,AMI,ENTRE 21 Y 30,
101641,03/03/2020,16/11/2000,21,H,AMI,ENTRE 21 Y 30,
101648,15/01/2020,27/05/1973,48,M,OTRO,ENTRE 41 Y 50,
101651,05/01/2020,08/01/1993,28,H,OTRO,ENTRE 21 Y 30,
101681,06/01/2020,02/12/1986,35,H,FBIG,ENTRE 31 Y 40,
101687,21/01/2020,08/11/1998,23,H,EMAIL,ENTRE 21 Y 30,
101701,06/01/2020,27/05/1997,24,H,WS,ENTRE 21 Y 30,
101716,03/02/2020,11/11/1987,34,H,OTRO,ENTRE 31 Y 40,
101745,24/02/2020,17/03/1999,22,H,WS,ENTRE 21 Y 30,
101778,07/02/2020,18/02/1987,34,H,EMAIL,ENTRE 31 Y 40,
101780,01/03/2020,22/10/1991,30,H,EMAIL,ENTRE 21 Y 30,
101793,23/02/2020,24/10/1983,38,M,OTRO,ENTRE 31 Y 40,
101854,15/01/2020,26/05/1978,43,M,OTRO,ENTRE 41 Y 50,
101907,16/02/2020,04/12/1981,40,H,EMAIL,ENTRE 31 Y 40,
101911,14/02/2020,20/07/1997,24,H,FBIG,ENTRE 21 Y 30,
101951,11/03/2020,08/11/1988,33,M,AMI,ENTRE 31 Y 40,
102037,22/02/2020,12/01/2000,21,H,OTRO,ENTRE 21 Y 30,
102051,09/01/2020,06/01/1981,40,M,EMAIL,ENTRE 31 Y 40,
102076,21/02/2020,13/04/1972,49,M,WS,ENTRE 41 Y 50,
102081,06/01/2020,20/12/2003,18,M,OTRO,MENORES DE 21,
102084,11/01/2020,24/03/1974,47,H,OTRO,ENTRE 41 Y 50,
102187,24/02/2020,10/06/1988,33,M,OTRO,ENTRE 31 Y 40,
102210,16/02/2020,24/12/1956,65,H,WS,MAYORES DE 50,
102211,13/01/2020,18/05/1988,33,H,FBIG,ENTRE 31 Y 40,
102223,18/02/2020,16/11/1996,25,M,OTRO,ENTRE 21 Y 30,
102233,13/01/2020,15/09/1988,33,H,OTRO,ENTRE 31 Y 40,
102245,12/02/2020,04/04/2005,16,M,FBIG,MENORES DE 21,
102251,13/01/2020,12/06/1985,36,H,OTRO,ENTRE 31 Y 40,
102287,09/01/2020,29/11/1984,37,M,OTRO,ENTRE 31 Y 40,
102305,26/02/2020,01/06/1992,29,M,FBIG,ENTRE 21 Y 30,
102314,05/01/2020,29/06/1988,33,M,OTRO,ENTRE 31 Y 40,
102403,12/01/2020,12/09/1993,28,H,FBIG,ENTRE 21 Y 30,
102434,28/02/2020,26/11/1991,30,M,FBIG,ENTRE 21 Y 30,
102452,24/01/2020,02/01/2004,17,H,WS,MENORES DE 21,
102488,28/02/2020,11/05/1988,33,M,EMAIL,ENTRE 31 Y 40,
102523,12/02/2020,14/02/1983,38,H,OTRO,ENTRE 31 Y 40,
102532,24/02/2020,26/01/1996,25,M,FBIG,ENTRE 21 Y 30,
102540,11/02/2020,08/02/1998,23,H,OTRO,ENTRE 21 Y 30,
102591,23/02/2020,16/04/1977,44,H,OTRO,ENTRE 41 Y 50,
