id_venta,id_producto,id_sucursal,cantidad,fecha_venta,costo_unitario,precio_lista,id_promocion,descuento_promo,id_lealtad,descuento_lealtad,precio_venta,
128318,LS-040,WDF,1,01/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128320,AL-010,PFA,1,01/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128322,WS-030,WDF,1,01/01/2020, $552.50 ," $5,933.54 ",,0%,,0%," $5,933.54 ",
128324,LS-040,PER,1,01/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128326,AL-030,PFA,1,01/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128328,AL-030,WDF,1,01/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128330,LS-040,TEZ,1,01/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128332,LL-020,MHT,1,01/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128334,AL-010,PER,1,01/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128336,AL-030,TEZ,1,01/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128338,LL-020,QUE,1,01/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128340,LL-020,SCT,1,01/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128342,AL-020,PER,1,01/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128344,WX-010,GLL,1,01/01/2020," $2,932.50 "," $26,036.45 ",,0%,,0%," $26,036.45 ",
128346,AX-040,GLL,1,01/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128348,LS-030,WDF,1,01/01/2020, $187.00 ," $1,589.76 ",,0%,,0%," $1,589.76 ",
128350,AL-010,QUE,1,01/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128352,AL-010,PER,1,02/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128354,AL-030,MHT,1,02/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128356,LS-040,QUE,1,02/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128358,AL-030,QUE,1,02/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128360,WL-020,MHT,1,02/01/2020," $3,570.00 "," $20,166.57 ",,0%,,0%," $20,166.57 ",
128362,LL-010,PAM,1,02/01/2020, $208.25 ," $3,767.52 ",,0%,,0%," $3,767.52 ",
128364,AL-010,TEZ,1,02/01/2020, $233.75 ," $1,324.37 ",,0%,,0%," $1,324.37 ",
128366,AL-030,QUE,1,02/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128368,WX-010,GLL,1,02/01/2020," $2,932.50 "," $26,036.45 ",,0%,,0%," $26,036.45 ",
128370,WS-040,PER,1,02/01/2020, $467.50 ," $4,794.89 ",,0%,,0%," $4,794.89 ",
128372,LL-020,QUE,1,02/01/2020, $324.70 ," $4,179.86 ",,0%,,0%," $4,179.86 ",
128374,AL-030,WDF,1,02/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128376,LS-030,PAM,1,02/01/2020, $187.00 ," $1,589.76 ",,0%,,0%," $1,589.76 ",
128378,WS-030,MHT,1,02/01/2020, $552.50 ," $5,933.54 ",,0%,,0%," $5,933.54 ",
128380,AL-020,PFA,1,02/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
128382,WS-030,TEZ,1,02/01/2020, $552.50 ," $5,933.54 ",,0%,,0%," $5,933.54 ",
128384,WL-020,PFA,1,02/01/2020," $3,570.00 "," $20,166.57 ",,0%,,0%," $20,166.57 ",
128386,AX-040,MHT,1,02/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128388,AX-040,WDF,1,03/01/2020, $382.50 ," $15,705.95 ",,0%,,0%," $15,705.95 ",
128390,LS-040,WDF,1,03/01/2020, $267.75 ," $1,796.06 ",,0%,,0%," $1,796.06 ",
128392,AL-030,GLL,1,03/01/2020, $38.25 , $570.85 ,,0%,,0%, $570.85 ,
128394,AL-020,PER,1,03/01/2020, $63.75 ," $1,204.69 ",,0%,,0%," $1,204.69 ",
